fecha,confirmados_minsal
2020-03-12,1
2020-03-13,2
2020-03-14,2
2020-03-15,2
2020-03-16,3
2020-03-17,3
2020-03-18,3
2020-03-19,4
2020-03-20,5
2020-03-21,5
2020-03-22,5
2020-03-23,5
2020-03-24,7
2020-03-25,7
2020-03-26,7
2020-03-27,8
2020-03-28,9
2020-03-29,10
2020-03-30,11
2020-03-31,11
2020-04-01,12
2020-04-02,15
2020-04-03,16
2020-04-04,16
2020-04-05,16
2020-04-06,16
2020-04-07,16
2020-04-08,16
2020-04-09,16
2020-04-10,16
2020-04-11,17
2020-04-12,19
2020-04-13,19
2020-04-14,19
2020-04-15,20
2020-04-16,21
2020-04-17,22
2020-04-18,23
2020-04-19,23
2020-04-20,23
2020-04-21,24
2020-04-22,24
2020-04-23,24
2020-04-24,26
2020-04-25,26
2020-04-26,26
2020-04-27,26
2020-04-28,26
2020-04-29,27
2020-04-30,28
2020-05-01,28
2020-05-02,28
2020-05-03,29
2020-05-04,30
2020-05-05,30
2020-05-06,30
2020-05-07,31
2020-05-08,31
2020-05-09,31
2020-05-10,35
2020-05-11,36
2020-05-12,41
2020-05-13,42
2020-05-14,43
2020-05-15,46
2020-05-16,48
2020-05-17,48
2020-05-18,52
2020-05-19,55
2020-05-20,56
2020-05-21,58
2020-05-22,62
2020-05-23,63
2020-05-24,66
2020-05-25,73
2020-05-26,76
2020-05-27,79
2020-05-28,81
2020-05-29,82
2020-05-30,83
2020-05-31,84
2020-06-01,85
2020-06-02,86
2020-06-03,88
2020-06-04,90
2020-06-05,92
2020-06-06,95
2020-06-07,96
2020-06-08,97
2020-06-09,102
2020-06-10,104
2020-06-11,105
2020-06-12,107
2020-06-13,107
2020-06-14,109
2020-06-15,111
2020-06-16,115
2020-06-17,116
2020-06-18,116
2020-06-19,119
2020-06-20,121
2020-06-21,122
2020-06-22,124
2020-06-23,128
2020-06-24,131
2020-06-25,133
2020-06-26,135
2020-06-27,135
2020-06-28,136
2020-06-29,139
2020-06-30,141
2020-07-01,143
2020-07-02,146
2020-07-03,149
2020-07-04,149
2020-07-05,151
2020-07-06,159
2020-07-07,167
2020-07-08,186
2020-07-09,219
2020-07-10,256
2020-07-11,300
2020-07-12,330
2020-07-13,359
2020-07-14,386
2020-07-15,433
2020-07-16,459
2020-07-17,494
2020-07-18,509
2020-07-19,540
2020-07-20,579
2020-07-21,624
2020-07-22,654
2020-07-23,719
2020-07-24,770
2020-07-25,809
2020-07-26,826
2020-07-27,855
2020-07-28,875
2020-07-29,909
2020-07-30,955
2020-07-31,1008
2020-08-01,1043
2020-08-02,1071
2020-08-03,1131
2020-08-04,1200
2020-08-05,1243
2020-08-06,1299
2020-08-07,1372
2020-08-08,1432
2020-08-09,1485
2020-08-10,1578
2020-08-11,1640
2020-08-12,1737
2020-08-13,1791
2020-08-14,1915
2020-08-15,2002
2020-08-16,2095
2020-08-17,2210
2020-08-18,2321
2020-08-19,2475
2020-08-20,2648
2020-08-21,2797
2020-08-22,2915
2020-08-23,3028
2020-08-24,3221
2020-08-25,3425
2020-08-26,3662
2020-08-27,3881
2020-08-28,4075
2020-08-29,4264
2020-08-30,4420
2020-08-31,4686
2020-09-01,4979
2020-09-02,5268
2020-09-03,5534
2020-09-04,5879
2020-09-05,6164
2020-09-06,6455
2020-09-07,6841
2020-09-08,7228
2020-09-09,7597
2020-09-10,8030
2020-09-11,8341
2020-09-12,8597
2020-09-13,8825
2020-09-14,9074
2020-09-15,9371
2020-09-16,9651
2020-09-17,9920
2020-09-18,10204
2020-09-19,10486
2020-09-20,10677
2020-09-21,11029
2020-09-22,11382
2020-09-23,11786
2020-09-24,12165
2020-09-25,12604
2020-09-26,12880
2020-09-27,13049
2020-09-28,13503
2020-09-29,13903
2020-09-30,14216
2020-10-01,14557
2020-10-02,14860
2020-10-03,15046
2020-10-04,15172
2020-10-05,15529
2020-10-06,15910
2020-10-07,16178
2020-10-08,16582
2020-10-09,16913
2020-10-10,17148
2020-10-11,17329
2020-10-12,17476
2020-10-13,17839
2020-10-14,18188
2020-10-15,18550
2020-10-16,18893
2020-10-17,19089
2020-10-18,19184
2020-10-19,19522
2020-10-20,19853
2020-10-21,20121
2020-10-22,20451
2020-10-23,20703
2020-10-24,20916
2020-10-25,21034
2020-10-26,21309
2020-10-27,21559
2020-10-28,21834
2020-10-29,22020
2020-10-30,22254
2020-10-31,22369
2020-11-01,22462
2020-11-02,22732
2020-11-03,22948
2020-11-04,23141
2020-11-05,23387
2020-11-06,23617
2020-11-07,23706
2020-11-08,23789
2020-11-09,23975
2020-11-10,24214
2020-11-11,24454
2020-11-12,24624
2020-11-13,24754
2020-11-14,24844
2020-11-15,24892
2020-11-16,25050
2020-11-17,25233
2020-11-18,25376
2020-11-19,25492
2020-11-20,25608
2020-11-21,25710
2020-11-22,25752
2020-11-23,25812
2020-11-24,25942
2020-11-25,26087
2020-11-26,26254
2020-11-27,26378
2020-11-28,26452
2020-11-29,26506
2020-11-30,26603
2020-12-01,26783
2020-12-02,26909
2020-12-03,27039
2020-12-04,27141
2020-12-05,27201
2020-12-06,27248
2020-12-07,27306
2020-12-08,27360
2020-12-09,27498
2020-12-10,27650
2020-12-11,27806
2020-12-12,27912
2020-12-13,28008
2020-12-14,28204
2020-12-15,28399
2020-12-16,28564
2020-12-17,28771
2020-12-18,28971
2020-12-19,29122
2020-12-20,29213
2020-12-21,29473
2020-12-22,29726
2020-12-23,30032
2020-12-24,30145
2020-12-25,30247
2020-12-26,30507
2020-12-27,30613
2020-12-28,31024
2020-12-29,31433
2020-12-30,31853
2020-12-31,32091
2021-01-01,32182
2021-01-02,32425
2021-01-03,32602
2021-01-04,32988
2021-01-05,33443
2021-01-06,33820
2021-01-07,34076
2021-01-08,34337
2021-01-09,34467
2021-01-10,34608
2021-01-11,34920
2021-01-12,35144
2021-01-13,35436
2021-01-14,35765
2021-01-15,35983
2021-01-16,36181
2021-01-17,36316
2021-01-18,36566
2021-01-19,36897
2021-01-20,37216
2021-01-21,37538
2021-01-22,37739
2021-01-23,37929
2021-01-24,38070
2021-01-25,38371
2021-01-26,38723
2021-01-27,38930
2021-01-28,39201
2021-01-29,39382
2021-01-30,39522
2021-01-31,39589
2021-02-01,39835
2021-02-02,40063
2021-02-03,40283
2021-02-04,40498
2021-02-05,40724
2021-02-06,40861
2021-02-07,40932
2021-02-08,41097
2021-02-09,41288
2021-02-10,41431
2021-02-11,41622
2021-02-12,41841
2021-02-13,41937
2021-02-14,42020
2021-02-15,42073
2021-02-16,42168
2021-02-17,42424
2021-02-18,42630
2021-02-19,42830
2021-02-20,42885
2021-02-21,42939
2021-02-22,43150
2021-02-23,43304
2021-02-24,43453
2021-02-25,43572
2021-02-26,43695
2021-02-27,43833
2021-02-28,43932
2021-03-01,44093
2021-03-02,44213
2021-03-03,44375
2021-03-04,44522
2021-03-05,44662
2021-03-06,44740
2021-03-07,44772
2021-03-08,44941
2021-03-09,45033
2021-03-10,45160
2021-03-11,45255
2021-03-12,45389
2021-03-13,45445
2021-03-14,45485
2021-03-15,45630
2021-03-16,45776
2021-03-17,45871
2021-03-18,45969
2021-03-19,46065
2021-03-20,46143
2021-03-21,46167
2021-03-22,46282
2021-03-23,46389
2021-03-24,46456
2021-03-25,46601
2021-03-26,46813
2021-03-27,46945
2021-03-28,47029
2021-03-29,47199
2021-03-30,47367
2021-03-31,47545
2021-04-01,47728
2021-04-02,47828
2021-04-03,47947
2021-04-04,48070
2021-04-05,48362
2021-04-06,48642
2021-04-07,48987
2021-04-08,49283
2021-04-09,49499
2021-04-10,49688
2021-04-11,49842
2021-04-12,50172
2021-04-13,50515
2021-04-14,50848
2021-04-15,51126
2021-04-16,51480
2021-04-17,51820
2021-04-18,51967
2021-04-19,52311
2021-04-20,52681
2021-04-21,53007
2021-04-22,53416
2021-04-23,53822
2021-04-24,54047
2021-04-25,54236
2021-04-26,54504
2021-04-27,54916
2021-04-28,55238
2021-04-29,55667
2021-04-30,55978
2021-05-01,56137
2021-05-02,56239
2021-05-03,56505
2021-05-04,56916
2021-05-05,57237
2021-05-06,57515
2021-05-07,57826
2021-05-08,58047
2021-05-09,58138
2021-05-10,58519
2021-05-11,58939
2021-05-12,59208
2021-05-13,59694
2021-05-14,60029
2021-05-15,60368
2021-05-16,60547
2021-05-17,61078
2021-05-18,61658
2021-05-19,62196
2021-05-20,62835
2021-05-21,63278
2021-05-22,63657
2021-05-23,63913
2021-05-24,64266
2021-05-25,64587
2021-05-26,65089
2021-05-27,65829
2021-05-28,66377
2021-05-29,66745
2021-05-30,66945
2021-05-31,67444
2021-06-01,67991
2021-06-02,68402
2021-06-03,68787
2021-06-04,69189
2021-06-05,69430
2021-06-06,69566
2021-06-07,69897